index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,genre_id,country_id
341,Sarkar,2018,7.0,18453,164,3,3
342,Rambo,2008,7.0,228799,92,8,2
343,Dil Dhadakne Do,2015,7.0,17149,170,3,3
344,Soul Surfer,2011,7.0,49101,112,3,2
345,Happy Gilmore,1996,7.0,217534,92,4,2
346,Den of Thieves,2018,7.0,107701,140,8,2
347,The Zookeeper's Wife,2017,7.0,42808,122,3,1
348,The Platform,2019,7.0,207877,94,12,7
349,Public Enemies,2009,7.0,297525,143,7,2
350,Ip Man 4: The Finale,2019,7.0,30694,107,3,26
351,John Q,2002,7.0,131999,116,3,2
352,Fashion,2008,6.9,12468,167,11,3
353,Ma Rainey's Black Bottom,2020,6.9,50275,94,13,2
354,Any Given Sunday,1999,6.9,118479,162,3,2
355,The Long Riders,1980,6.9,11329,99,5,2
356,Get on Up,2014,6.9,24456,139,3,2
357,Fukrey,2013,6.9,11656,137,11,3
358,Chup Chup Ke,2006,6.9,10528,165,4,3
359,Then Came You,2019,6.9,12356,93,4,2
360,The Wolf's Call,2019,6.9,17236,115,8,19
361,Cloudy with a Chance of Meatballs,2009,6.9,226225,90,14,2
362,Our Souls at Night,2017,6.9,13360,101,3,2
363,Chandigarh Kare Aashiqui,2021,6.9,12303,117,7,3
364,Welcome,2007,6.9,21799,160,11,3
365,Everybody Knows,2018,6.9,34009,132,3,25
366,The Meyerowitz Stories (New and Selected),2017,6.9,47971,112,3,2
367,I Don't Feel at Home in This World Anymore,2017,6.9,55549,93,3,2
368,The Highwaymen,2019,6.9,88714,132,8,2
369,Legend,2015,6.9,175273,132,8,2
370,AK vs AK,2020,6.9,14048,108,3,3
371,My Girl,1991,6.9,79800,103,4,2
372,Amanda Knox,2016,6.9,23969,92,7,34
373,2 States,2014,6.9,25344,149,4,3
374,The Power of the Dog,2021,6.9,158487,126,3,14
375,The Half of It,2020,6.9,34959,104,4,2
376,Outlaw King,2018,6.9,69834,121,3,1
377,Mary Kom,2014,6.9,10656,122,3,3
378,Suffragette,2015,6.9,41529,106,3,19
379,Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,82623,100,10,2
380,Christine,2016,6.9,14977,115,3,2
381,The Night Comes for Us,2018,6.9,25500,121,8,35
382,The Trip,2021,6.9,19706,113,4,16
383,The Dirt,2019,6.9,47603,108,3,2
384,Top Gun,1986,6.9,329656,110,3,2
385,Radhe Shyam,2022,6.9,21328,138,11,3
386,Sorry to Bother You,2018,6.9,75653,111,10,2
